MISS! ; PA: 58995 ; Accessed Data: 0
MISS! ; PA: 32640 ; Accessed Data: 0
MISS! ; PA: 6001 ; Accessed Data: 0
MISS! ; PA: 25253 ; Accessed Data: 0
MISS! ; PA: 31877 ; Accessed Data: 0
MISS! ; PA: 50150 ; Accessed Data: 0
MISS! ; PA: 64051 ; Accessed Data: 0
MISS! ; PA: 28486 ; Accessed Data: 0
MISS! ; PA: 37323 ; Accessed Data: 0
MISS! ; PA: 8142 ; Accessed Data: 0
MISS! ; PA: 11072 ; Accessed Data: 0
MISS! ; PA: 12969 ; Accessed Data: 0
MISS! ; PA: 42291 ; Accessed Data: 0
MISS! ; PA: 39612 ; Accessed Data: 0
MISS! ; PA: 59945 ; Accessed Data: 0
HIT! ; PA: 21040 ; Accessed Data: 10110001110010011111001100001100
MISS! ; PA: 33591 ; Accessed Data: 0
MISS! ; PA: 42819 ; Accessed Data: 0
MISS! ; PA: 55037 ; Accessed Data: 0
MISS! ; PA: 17734 ; Accessed Data: 0
MISS! ; PA: 40135 ; Accessed Data: 0
MISS! ; PA: 4564 ; Accessed Data: 0
MISS! ; PA: 43657 ; Accessed Data: 0
MISS! ; PA: 14618 ; Accessed Data: 0
MISS! ; PA: 8228 ; Accessed Data: 0
MISS! ; PA: 57197 ; Accessed Data: 0
MISS! ; PA: 9548 ; Accessed Data: 0
MISS! ; PA: 28069 ; Accessed Data: 0
MISS! ; PA: 38688 ; Accessed Data: 0
MISS! ; PA: 35152 ; Accessed Data: 0
MISS! ; PA: 58840 ; Accessed Data: 0
MISS! ; PA: 53858 ; Accessed Data: 0
MISS! ; PA: 41216 ; Accessed Data: 0
MISS! ; PA: 1919 ; Accessed Data: 0
MISS! ; PA: 61111 ; Accessed Data: 0
MISS! ; PA: 13302 ; Accessed Data: 0
MISS! ; PA: 35004 ; Accessed Data: 0
MISS! ; PA: 46288 ; Accessed Data: 0
MISS! ; PA: 12046 ; Accessed Data: 0
MISS! ; PA: 40005 ; Accessed Data: 0
MISS! ; PA: 3285 ; Accessed Data: 0
MISS! ; PA: 10991 ; Accessed Data: 0
MISS! ; PA: 17736 ; Accessed Data: 0
MISS! ; PA: 36751 ; Accessed Data: 0
MISS! ; PA: 54868 ; Accessed Data: 0
MISS! ; PA: 9376 ; Accessed Data: 0
MISS! ; PA: 52482 ; Accessed Data: 0
MISS! ; PA: 46520 ; Accessed Data: 0
MISS! ; PA: 56990 ; Accessed Data: 0
MISS! ; PA: 8024 ; Accessed Data: 0
MISS! ; PA: 59840 ; Accessed Data: 0
MISS! ; PA: 25276 ; Accessed Data: 0
MISS! ; PA: 65078 ; Accessed Data: 0
MISS! ; PA: 25045 ; Accessed Data: 0
MISS! ; PA: 63665 ; Accessed Data: 0
MISS! ; PA: 50554 ; Accessed Data: 0
MISS! ; PA: 23617 ; Accessed Data: 0
MISS! ; PA: 13957 ; Accessed Data: 0
MISS! ; PA: 29537 ; Accessed Data: 0
MISS! ; PA: 52608 ; Accessed Data: 0
MISS! ; PA: 23754 ; Accessed Data: 0
MISS! ; PA: 24138 ; Accessed Data: 0
MISS! ; PA: 563 ; Accessed Data: 0
MISS! ; PA: 47087 ; Accessed Data: 0
MISS! ; PA: 38103 ; Accessed Data: 0
MISS! ; PA: 16694 ; Accessed Data: 0
MISS! ; PA: 34218 ; Accessed Data: 0
MISS! ; PA: 36629 ; Accessed Data: 0
MISS! ; PA: 15218 ; Accessed Data: 0
MISS! ; PA: 56017 ; Accessed Data: 0
MISS! ; PA: 40686 ; Accessed Data: 0
MISS! ; PA: 30529 ; Accessed Data: 0
HIT! ; PA: 29154 ; Accessed Data: 00001101100010101110101101111110
MISS! ; PA: 37720 ; Accessed Data: 0
MISS! ; PA: 11163 ; Accessed Data: 0
MISS! ; PA: 57479 ; Accessed Data: 0
MISS! ; PA: 62640 ; Accessed Data: 0
MISS! ; PA: 23959 ; Accessed Data: 0
MISS! ; PA: 54739 ; Accessed Data: 0
MISS! ; PA: 45959 ; Accessed Data: 0
MISS! ; PA: 56359 ; Accessed Data: 0
MISS! ; PA: 63710 ; Accessed Data: 0
MISS! ; PA: 19557 ; Accessed Data: 0
MISS! ; PA: 53346 ; Accessed Data: 0
MISS! ; PA: 57729 ; Accessed Data: 0
MISS! ; PA: 53209 ; Accessed Data: 0
MISS! ; PA: 32857 ; Accessed Data: 0
MISS! ; PA: 6879 ; Accessed Data: 0
MISS! ; PA: 29967 ; Accessed Data: 0
MISS! ; PA: 27402 ; Accessed Data: 0
MISS! ; PA: 61429 ; Accessed Data: 0
MISS! ; PA: 122 ; Accessed Data: 0
MISS! ; PA: 62118 ; Accessed Data: 0
MISS! ; PA: 17669 ; Accessed Data: 0
MISS! ; PA: 12696 ; Accessed Data: 0
MISS! ; PA: 8584 ; Accessed Data: 0
MISS! ; PA: 45498 ; Accessed Data: 0
MISS! ; PA: 65351 ; Accessed Data: 0
MISS! ; PA: 37734 ; Accessed Data: 0
MISS! ; PA: 39476 ; Accessed Data: 0
MISS! ; PA: 43301 ; Accessed Data: 0
MISS! ; PA: 37815 ; Accessed Data: 0
MISS! ; PA: 57644 ; Accessed Data: 0
MISS! ; PA: 59131 ; Accessed Data: 0
MISS! ; PA: 60821 ; Accessed Data: 0
MISS! ; PA: 53293 ; Accessed Data: 0
MISS! ; PA: 17599 ; Accessed Data: 0
MISS! ; PA: 52864 ; Accessed Data: 0
MISS! ; PA: 32093 ; Accessed Data: 0
MISS! ; PA: 55370 ; Accessed Data: 0
MISS! ; PA: 18214 ; Accessed Data: 0
MISS! ; PA: 25501 ; Accessed Data: 0
MISS! ; PA: 38817 ; Accessed Data: 0
MISS! ; PA: 507 ; Accessed Data: 0
MISS! ; PA: 49157 ; Accessed Data: 0
MISS! ; PA: 31770 ; Accessed Data: 0
MISS! ; PA: 30620 ; Accessed Data: 0
MISS! ; PA: 14747 ; Accessed Data: 0
MISS! ; PA: 42077 ; Accessed Data: 0
MISS! ; PA: 16901 ; Accessed Data: 0
MISS! ; PA: 33926 ; Accessed Data: 0
MISS! ; PA: 37323 ; Accessed Data: 0
MISS! ; PA: 6743 ; Accessed Data: 0
MISS! ; PA: 6613 ; Accessed Data: 0
MISS! ; PA: 44203 ; Accessed Data: 0
MISS! ; PA: 43337 ; Accessed Data: 0
MISS! ; PA: 31862 ; Accessed Data: 0
MISS! ; PA: 55528 ; Accessed Data: 0
MISS! ; PA: 2871 ; Accessed Data: 0
MISS! ; PA: 12805 ; Accessed Data: 0
MISS! ; PA: 10513 ; Accessed Data: 0
MISS! ; PA: 20441 ; Accessed Data: 0
MISS! ; PA: 1784 ; Accessed Data: 0
MISS! ; PA: 33144 ; Accessed Data: 0
MISS! ; PA: 6781 ; Accessed Data: 0
MISS! ; PA: 56848 ; Accessed Data: 0
MISS! ; PA: 11778 ; Accessed Data: 0
MISS! ; PA: 53774 ; Accessed Data: 0
MISS! ; PA: 16061 ; Accessed Data: 0
MISS! ; PA: 19103 ; Accessed Data: 0
MISS! ; PA: 49143 ; Accessed Data: 0
MISS! ; PA: 24700 ; Accessed Data: 0
MISS! ; PA: 37994 ; Accessed Data: 0
MISS! ; PA: 58971 ; Accessed Data: 0
MISS! ; PA: 40796 ; Accessed Data: 0
MISS! ; PA: 21071 ; Accessed Data: 0
MISS! ; PA: 56274 ; Accessed Data: 0
MISS! ; PA: 56774 ; Accessed Data: 0
MISS! ; PA: 10551 ; Accessed Data: 0
MISS! ; PA: 64199 ; Accessed Data: 0
MISS! ; PA: 46597 ; Accessed Data: 0
MISS! ; PA: 37491 ; Accessed Data: 0
MISS! ; PA: 18608 ; Accessed Data: 0
MISS! ; PA: 57976 ; Accessed Data: 0
