MISS! ; PA: 58995 ; Accessed Data: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
HIT! ; PA: 32640 ; Accessed Data: 11010000011101011111100011100000
HIT! ; PA:  6001 ; Accessed Data: 10110010110111111110000001101010
MISS! ; PA: 25253 ; Accessed Data: 10100001100011011010110100101111
MISS! ; PA: 31877 ; Accessed Data: 11010100100111101000011101101010
MISS! ; PA: 50150 ; Accessed Data: 10111111111100011110110010100101
MISS! ; PA: 64051 ; Accessed Data: 10111010100000110110000001100001
MISS! ; PA: 28486 ; Accessed Data: 01000001100001011001010110000011
MISS! ; PA: 37323 ; Accessed Data: 11110011001111100111110010000100
MISS! ; PA:  8142 ; Accessed Data: 00011101101001010110001001010111
MISS! ; PA: 11072 ; Accessed Data: 01111100101110110000110000010111
HIT! ; PA: 12969 ; Accessed Data: 10000100101010110111101101110111
HIT! ; PA: 42291 ; Accessed Data: 01010011101000101100011111101000
MISS! ; PA: 39612 ; Accessed Data: 00100111011011100011100010001001
MISS! ; PA: 59945 ; Accessed Data: 11110010110101111000101011010001
HIT! ; PA: 21040 ; Accessed Data: 01101110101111100001000111111100
HIT! ; PA: 33591 ; Accessed Data: 11000010111110010001101100111000
MISS! ; PA: 42819 ; Accessed Data: 10100010111010111100001010001110
HIT! ; PA: 55037 ; Accessed Data: 01111001111001000010010010010001
MISS! ; PA: 17734 ; Accessed Data: 00000011001111011001100011000111
HIT! ; PA: 40135 ; Accessed Data: 01101010001100010110000011011000
HIT! ; PA:  4564 ; Accessed Data: 11001101011111001111100001111010
MISS! ; PA: 43657 ; Accessed Data: 11000010101100111111001000011001
HIT! ; PA: 14618 ; Accessed Data: 00110101011010000000110001001001
HIT! ; PA:  8228 ; Accessed Data: 10111101111110111110101111101011
MISS! ; PA: 57197 ; Accessed Data: 01001100001111111010011100011111
MISS! ; PA:  9548 ; Accessed Data: 11000001110100110000110011101110
MISS! ; PA: 28069 ; Accessed Data: 11011000001111000101010110110101
MISS! ; PA: 38688 ; Accessed Data: 01101110110001001010100001010010
HIT! ; PA: 35152 ; Accessed Data: 00011100000101001010000000010000
HIT! ; PA: 58840 ; Accessed Data: 10011111100100011011111101010010
HIT! ; PA: 53858 ; Accessed Data: 10001110011110010111101100000000
MISS! ; PA: 41216 ; Accessed Data: 01011000101110110100101010110011
